"stn","lon_o","lat_o","ele","lon_l","lat_l","dist","dii","yii","xii"
575,127.188,37.106,48.1,127.184,37.1042,0.00438634243989791,177902,348,238
576,127.3686,37.12683,111.46,127.376,37.1294,0.00783357517357517,178937,350,249
577,126.33654,37.53411,11.41,126.338,37.5393,0.0053914469300896,193725,379,189
578,126.2664,36.3011,8.09,126.263,36.2963,0.00588217646793729,147641,289,185
579,128.9133,37.36685,609.21,128.913,37.3733,0.00645697297500936,189265,370,337
580,129.0288767,37.61345939,58.38,129.029,37.619,0.00554198178110173,198487,388,343
581,128.7742,37.1164,420,128.78,37.1142,0.00620322496770304,179530,351,330
582,128.0799,37.2314,328.01,128.072,37.2281,0.0085615419172087,183073,358,289
583,128.1551,37.4646,530,128.15,37.4616,0.00591692487699381,191781,375,293
585,128.08344,37.96599,236.41,128.079,37.9615,0.00631456253432243,210208,411,288
586,127.8769,38.03209,226,127.87,38.0348,0.00741310326381776,212756,416,276
587,127.9505,38.2262,280,127.946,38.2274,0.00465725240888615,219928,430,280
588,127.64622,37.79182,93.59,127.653,37.7893,0.00723317357735213,203528,398,264
589,126.7903,37.7024,59.07,126.793,37.7028,0.00272946881279646,199895,391,215
590,127.0024,37.4404,46.6,126.999,37.4381,0.00410487515035307,190179,372,227
591,128.05047,37.41553,268.45,128.044,37.4223,0.00936449678305076,190239,372,287
592,127.7487,37.2316,52,127.743,37.2344,0.00635059052372725,183054,358,270
593,128.5407,38.0074,146.05,128.538,38.0065,0.00284604989412693,212282,415,314
594,128.21,38.2533,316,128.212,38.2497,0.00411825205639072,220967,432,295
595,128.37401,38.26644,596.25,128.371,38.26,0.00710870593005486,221488,433,304
596,128.4932,38.07697,237.73,128.488,38.077,0.00520008653774353,214839,420,311
597,128.4411,37.54549,561.08,128.449,37.5517,0.0100485869653425,195382,382,310
598,126.99048,37.83118,87.76,126.988,37.8257,0.00601504779699133,204514,400,226
599,127.16977,37.76173,105.82,127.162,37.7685,0.0103056198260921,202476,396,236
600,127.5897,36.9737,132,127.597,36.9741,0.00731095069057439,173318,339,262
601,128.3669,36.98553,184.2,128.359,36.9867,0.00798616929445259,174386,341,306
602,127.4297,36.8539,90.45,127.421,36.8524,0.00882836338172783,168700,330,252
603,127.8,36.8,120.5,127.8,36.8049,0.00490000000000634,167186,327,274
604,127.59654,36.29995,117.84,127.597,36.2976,0.00239459808736034,148231,290,263
605,127.75981,36.16314,137.14,127.765,36.1569,0.00811626145463334,143121,280,273
606,126.388,37.011,16,126.387,37.0137,0.00287923600977668,174272,341,192
607,126.15,36.6667,9.7,126.144,36.6691,0.00646219776856218,161458,316,178
608,126.6453,36.6276,83,126.642,36.6257,0.00380788655294025,159951,313,207
609,126.356367,36.337878,36.1,126.348,36.3374,0.00838064275578648,149182,292,190
610,126.64439,36.59263,16.88,126.642,36.5981,0.00596933832179528,158927,311,207
611,127.2797,36.5665,28.1,127.278,36.5644,0.00270185121721996,157940,309,244
612,127.1379,36.4881,28.8,127.139,36.4833,0.00492442890089963,154860,303,236
614,126.7043,36.0622,8,126.705,36.0598,0.00249999999999318,138963,272,211
615,127.1083,36.2116,11.5,127.1,36.2078,0.00912852671574545,144618,283,234
616,126.618,36.889,50,126.61,36.8883,0.00803056660516129,169677,332,205
617,127.15609,36.87817,41.38,127.163,36.8834,0.00866608331369586,169709,332,237
618,126.77905,36.42371,98.12,126.777,36.4178,0.00625544562761029,152279,298,215
619,127.68454,36.94441,161.02,127.683,36.9451,0.00168751296290485,172299,337,267
620,127.9035,37.0737,63.53,127.912,37.0792,0.0101242283656673,177432,347,280
621,128.2142,36.9732,147.26,128.22,36.9761,0.0064845971347454,173866,340,298
622,128.00794,36.83909,232.11,128.008,36.8424,0.00331054376198169,168734,330,286
623,127.56199,36.7956,74.72,127.558,36.7952,0.00400999999998747,166660,326,260
624,127.6588,36.6294,244,127.657,36.6278,0.00240831891575816,160522,314,266
625,127.81669,36.51723,324.91,127.809,36.5148,0.00806480005951375,156435,306,275
626,127.81559,36.37085,122.63,127.822,36.3765,0.00854462404088463,151316,296,276
627,126.29643,36.75853,40.89,126.299,36.7654,0.00733497102925563,165051,323,187
628,126.8144,36.7422,38.74,126.816,36.7487,0.00669402718847347,164569,322,217
629,127.2005,36.6908,84.49,127.194,36.6897,0.00659241988954255,162543,318,239
630,127.78696,37.04198,116.55,127.789,37.04,0.00284288585772371,175889,344,273
631,126.61752,37.34782,9.74,126.615,37.3444,0.00424815253963529,186573,365,205
632,126.9495,36.537778,58.83,126.951,36.5405,0.00310793886683297,156897,307,225
633,127.0939,36.5511,72.5,127.088,36.5529,0.00616846820532794,157417,308,233
634,126.8654,36.8458,27.5,126.869,36.845,0.00368781778292243,168156,329,220
635,126.8603,36.1319,10.7,126.859,36.1275,0.00458802789878573,141532,277,220
636,127.24067,36.31353,131.9,127.238,36.3165,0.00399372007030523,148722,291,242
637,126.8054,36.894,22,126.801,36.9008,0.00809938269252741,170200,333,216
638,128.4847,37.0847,175,128.483,37.0805,0.00453100430368104,177977,348,313
639,128.1457,36.9041,282,128.148,36.9086,0.00505371150739341,171302,335,294
640,127.8617,36.6711,225.09,127.865,36.6656,0.00641404708433194,162070,317,278
641,127.48,36.47,88.2,127.481,36.465,0.00509901951358648,154368,302,256
642,127.40608,36.3105,77.27,127.41,36.3143,0.00545952378875588,148732,291,252
643,127.49378,36.34019,91.75,127.496,36.3406,0.00225754291210061,149761,293,257
644,127.0901,36.1366,24.1,127.098,36.1389,0.00822800097228174,142058,278,234
